序號,補習班,設立人,班主任,班 址,電 話,廢止/註銷,發文日期,廢止/註銷文號,廢止/註銷日期,縣市
2,私立皇家文理短期補習班,楊珠麗,黃文賢,斗六市宏德街47號1-3樓,(05)5330297,註銷,2024-07-12,府教社二字第1132434864號,2024-07-12,雲林縣
3,私立文心文理短期補習班,黃宜君,黃宜君,斗六市東興街168之2號,5352517,註銷,2024-07-10,府教社二字第1132434084號,2024-07-09,雲林縣
4,私立九章文理短期補習班,李勁褕,李勁褕,雲林縣虎尾鎮東仁里民族路48號1-2樓,(05)6322900,註銷,2024-07-08,府教社二字第1132433785號,2024-07-07,雲林縣
5,私立學優文理短期補習班,吳哲誠,吳哲誠,雲林縣斗南鎮莊敬街76巷16號1-2樓,5973022,註銷,2024-07-08,府教社二字第1132433416號,2024-07-07,雲林縣
6,私立大可文理短期補習班,吳文記,吳文記,北港鎮大同里太平路18巷21號1-2樓,(05)7825410,註銷,2024-07-04,府教社二字第1132433127號,2024-07-03,雲林縣
7,私立文林學園文理短期補習班,詹文彬,詹文彬,雲林縣西螺鎮新豐里新社298之1號,5873582,註銷,2024-07-02,府教社二字第1132432764號,2024-07-01,雲林縣
8,私立桂味文理技藝短期補習班,廖騰霖,廖騰霖,斗六市莊敬路236號2-3樓,(05)5370766,廢止,2024-08-19,府教社二字第1132428704D號,2024-06-13,雲林縣
1,嘉義市私立新園文理短期補習班,邱昭哲,貝承融,600041嘉義市東區小雅路419之1號(2樓),(05)2714320,註銷,2024-08-08,府教社字第1135022248　號,2024-08-08,嘉義市
1,屏東縣私立學禾美語文理短期補習班,陳米鈴,陳米鈴,屏東縣長治鄉崙上村中興路411號1樓,0925262862,註銷,2024-07-08,府教終字第1130051113號,2024-07-08,屏東縣
2,屏東縣私立杏林文理短期補習班,鍾鳳美,林昱宏,屏東市大連路62-20號1-2樓,08-7363052,註銷,2024-06-27,屏府教終字第1130043284號,2024-06-30,屏東縣
3,屏東縣私立創造力文理短期補習班,周基胡,周基胡,屏東市溝美里自由路362-1號1樓,0920-558828,註銷,2024-06-19,屏府教終字第1130034663號,2024-06-19,屏東縣
1,私立力允文理短期補習班,陳臻,陳臻,羅東鎮中華路112號1-3樓,(03)9558830,註銷,2024-06-28,府教多字第1130105634號,2024-06-28,宜蘭縣
1,功學社音樂中心股份有限公司附設洄瀾音樂短期補習班,功學社音樂中心股份有限公司(代表人：林志明,孫念慈,花蓮市中山路475-3號,03-325651,註銷,2024-06-19,府教終字第1130113963號,2024-06-19,花蓮縣
1,私立鹿鳴美術短期補習班,黃美馨,黃美馨,澎湖縣馬公市林森路65號,0912115315,註銷,2024-07-31,府教社字第1130048842號,2024-07-31,澎湖縣
